coin,price,timestamp
Ethereumprice,"$2,961.40",2025-11-24 16:56:40.552000
Ethereumprice,"$2,957.35",2025-11-24 17:00:25.984000
Ethereumprice,"$2,957.35",2025-11-24 17:01:40.661000
Ethereumprice,"$2,962.20",2025-11-24 17:05:26.059000
Ethereumprice,"$2,963.44",2025-11-24 17:06:40.959000
Ethereumprice,"$2,958.85",2025-11-24 17:10:26.109000
Ethereumprice,"$2,959.82",2025-11-24 17:11:40.790000
Ethereumprice,"$2,972.56",2025-11-24 17:15:26.186000
Ethereumprice,"$2,971.15",2025-11-24 17:16:40.843000
Ethereumprice,"$2,975.33",2025-11-24 17:20:26.240000
Ethereumprice,"$2,974.82",2025-11-24 17:21:40.941000
Ethereumprice,"$2,976.87",2025-11-24 17:25:26.396000
Ethereumprice,"$2,978.53",2025-11-24 17:26:41.011000
Ethereumprice,"$2,976.09",2025-11-24 17:30:26.379000
Ethereumprice,"$2,976.09",2025-11-24 17:31:41.083000
Ethereumprice,"$2,975.71",2025-11-24 17:35:26.459000
Ethereumprice,"$2,973.54",2025-11-24 17:36:41.159000
Ethereumprice,"$2,974.67",2025-11-24 17:40:26.613000
Ethereumprice,"$2,974.67",2025-11-24 17:41:41.254000
Ethereumprice,"$2,976.39",2025-11-24 17:45:26.599000
Ethereumprice,"$2,976.39",2025-11-24 17:46:41.303000
Ethereumprice,"$2,976.98",2025-11-24 17:50:26.681000
Ethereumprice,"$2,979.52",2025-11-24 17:51:41.386000
Ethereumprice,"$2,977.51",2025-11-24 17:55:26.817000
Ethereumprice,"$2,977.49",2025-11-24 17:56:41.578000
Ethereumprice,"$2,974.72",2025-11-24 18:00:26.856000
Ethereumprice,"$2,972.06",2025-11-24 18:01:41.547000
Ethereumprice,"$2,967.38",2025-11-24 18:05:26.869000
Ethereumprice,"$2,968.68",2025-11-24 18:06:41.613000
Ethereumprice,"$2,969.25",2025-11-24 18:10:26.976000
Ethereumprice,"$2,969.25",2025-11-24 18:11:41.687000
Ethereumprice,"$2,965.79",2025-11-24 18:15:27.149000
Ethereumprice,"$2,965.74",2025-11-24 18:16:41.786000
Ethereumprice,"$2,964.83",2025-11-24 18:20:27.132000
Ethereumprice,"$2,964.35",2025-11-24 18:21:41.886000
Ethereumprice,"$2,964.34",2025-11-24 18:25:27.191000
Ethereumprice,"$2,964.34",2025-11-24 18:26:41.911000
Ethereumprice,"$2,964.55",2025-11-24 18:30:27.254000
Ethereumprice,"$2,964.55",2025-11-24 18:31:42.050000
Ethereumprice,"$2,969.59",2025-11-24 18:35:27.344000
Ethereumprice,"$2,970.01",2025-11-24 18:36:42.051000
Ethereumprice,"$2,966.97",2025-11-24 18:40:27.443000
Ethereumprice,"$2,966.97",2025-11-24 18:41:42.143000
Ethereumprice,"$2,966.50",2025-11-24 18:45:27.470000
Ethereumprice,"$2,965.99",2025-11-24 18:46:42.278000
Ethereumprice,"$2,950.29",2025-11-24 18:50:27.562000
Ethereumprice,"$2,953.38",2025-11-24 18:51:42.287000
Ethereumprice,"$2,958.63",2025-11-24 18:55:27.626000
Ethereumprice,"$2,958.63",2025-11-24 18:56:42.355000
Ethereumprice,"$2,956.36",2025-11-24 19:00:27.742000
Ethereumprice,"$2,958.83",2025-11-24 19:01:42.440000
Ethereumprice,"$2,958.66",2025-11-24 19:05:27.897000
Ethereumprice,"$2,962.77",2025-11-24 19:06:42.487000
Ethereumprice,"$2,975.62",2025-11-24 19:10:27.837000
Ethereumprice,"$2,975.36",2025-11-24 19:11:42.545000
Ethereumprice,"$2,967.80",2025-11-24 19:15:27.917000
Ethereumprice,"$2,967.81",2025-11-24 19:16:42.658000
Ethereumprice,"$2,963.54",2025-11-24 19:20:27.986000
Ethereumprice,"$2,963.44",2025-11-24 19:21:42.832000
Ethereumprice,"$2,962.31",2025-11-24 19:25:28.069000
Ethereumprice,"$2,962.39",2025-11-24 19:26:42.781000
Ethereumprice,"$2,957.53",2025-11-24 19:30:28.097000
Ethereumprice,"$2,957.53",2025-11-24 19:31:42.858000
Ethereumprice,"$2,961.21",2025-11-24 19:35:28.217000
Ethereumprice,"$2,960.53",2025-11-24 19:36:43.085000
Ethereumprice,"$2,963.53",2025-11-24 19:40:28.273000
Ethereumprice,"$2,962.25",2025-11-24 19:41:43.009000
Ethereumprice,"$2,960.01",2025-11-24 19:45:28.325000
Ethereumprice,"$2,959.46",2025-11-24 19:46:43.063000
Ethereumprice,"$2,958.13",2025-11-24 19:50:28.386000
Ethereumprice,"$2,957.60",2025-11-24 19:51:43.104000
Ethereumprice,"$2,954.62",2025-11-24 19:55:28.678000
Ethereumprice,"$2,956.20",2025-11-24 19:56:43.222000
Ethereumprice,"$2,955.14",2025-11-24 20:00:28.550000
Ethereumprice,"$2,959.78",2025-11-24 20:01:43.303000
Ethereumprice,"$2,958.57",2025-11-24 20:05:28.627000
Ethereumprice,"$2,958.57",2025-11-24 20:06:43.369000
Ethereumprice,"$2,956.77",2025-11-24 20:10:28.674000
Ethereumprice,"$2,956.67",2025-11-24 20:11:43.549000
Ethereumprice,"$2,960.28",2025-11-24 20:15:28.763000
Ethereumprice,"$2,960.28",2025-11-24 20:16:43.503000
Ethereumprice,"$2,961.02",2025-11-24 20:20:28.826000
Ethereumprice,"$2,961.02",2025-11-24 20:21:43.516000
Ethereumprice,"$2,966.27",2025-11-24 20:25:28.880000
Ethereumprice,"$2,965.15",2025-11-24 20:26:43.634000
Ethereumprice,"$2,965.51",2025-11-24 20:30:29.277000
Ethereumprice,"$2,965.71",2025-11-24 20:31:43.692000
Ethereumprice,"$2,965.39",2025-11-24 20:35:29.049000
Ethereumprice,"$2,963.82",2025-11-24 20:36:43.802000
Ethereumprice,"$2,962.82",2025-11-24 20:40:29.160000
Ethereumprice,"$2,961.52",2025-11-24 20:41:43.879000
Ethereumprice,"$2,959.20",2025-11-24 20:45:29.189000
Ethereumprice,"$2,959.20",2025-11-24 20:46:43.942000
Ethereumprice,"$2,962.49",2025-11-24 20:50:29.261000
Ethereumprice,"$2,960.80",2025-11-24 20:51:44.035000
Ethereumprice,"$2,958.14",2025-11-24 20:55:29.326000
Ethereumprice,"$2,958.12",2025-11-24 20:56:44.099000
Ethereumprice,"$2,952.65",2025-11-24 21:00:29.575000
Ethereumprice,"$2,952.89",2025-11-24 21:01:44.652000
Ethereumprice,"$2,946.54",2025-11-24 21:05:29.582000
Ethereumprice,"$2,943.75",2025-11-24 21:06:44.357000
Ethereumprice,"$2,944.35",2025-11-24 21:10:29.647000
Ethereumprice,"$2,946.78",2025-11-24 21:11:44.422000
Ethereumprice,"$2,947.23",2025-11-24 21:15:29.740000
Ethereumprice,"$2,945.21",2025-11-24 21:16:44.537000
Ethereumprice,"$2,940.28",2025-11-24 21:20:30.248000
Ethereumprice,"$2,937.01",2025-11-24 21:21:44.636000
Ethereumprice,"$2,938.90",2025-11-24 21:25:29.928000
Ethereumprice,"$2,938.09",2025-11-24 21:26:44.664000
Ethereumprice,"$2,935.46",2025-11-24 21:30:29.964000
Ethereumprice,"$2,935.19",2025-11-24 21:31:44.746000
Ethereumprice,"$2,932.53",2025-11-24 21:35:30.084000
Ethereumprice,"$2,935.15",2025-11-24 21:36:44.812000
Ethereumprice,"$2,942.43",2025-11-24 21:40:30.125000
Ethereumprice,"$2,944.21",2025-11-24 21:41:44.901000
Ethereumprice,"$2,947.79",2025-11-24 21:45:30.252000
Ethereumprice,"$2,949.23",2025-11-24 21:46:44.937000
Ethereumprice,"$2,946.75",2025-11-24 21:50:30.244000
Ethereumprice,"$2,947.58",2025-11-24 21:51:45.181000
Ethereumprice,"$2,940.86",2025-11-24 21:55:30.443000
Ethereumprice,"$2,943.01",2025-11-24 21:56:45.110000
Ethereumprice,"$2,945.12",2025-11-24 22:00:30.529000
Ethereumprice,"$2,943.24",2025-11-24 22:01:45.170000
Ethereumprice,"$2,937.56",2025-11-24 22:05:30.497000
Ethereumprice,"$2,937.56",2025-11-24 22:06:45.258000
Ethereumprice,"$2,939.69",2025-11-24 22:10:30.648000
Ethereumprice,"$2,938.19",2025-11-24 22:11:45.409000
Ethereumprice,"$2,946.88",2025-11-24 22:15:30.631000
Ethereumprice,"$2,945.44",2025-11-24 22:16:45.573000
Ethereumprice,"$2,945.51",2025-11-24 22:20:30.691000
Ethereumprice,"$2,939.61",2025-11-24 22:21:45.499000
Ethereumprice,"$2,942.15",2025-11-24 22:25:30.739000
Ethereumprice,"$2,943.62",2025-11-24 22:26:45.629000
Ethereumprice,"$2,944.59",2025-11-24 22:30:30.841000
Ethereumprice,"$2,944.33",2025-11-24 22:31:45.576000
Ethereumprice,"$2,939.83",2025-11-24 22:35:30.906000
Ethereumprice,"$2,939.83",2025-11-24 22:36:45.690000
Ethereumprice,"$2,941.37",2025-11-24 22:40:30.949000
Ethereumprice,"$2,943.18",2025-11-24 22:41:45.807000
Ethereumprice,"$2,934.77",2025-11-24 22:45:31.050000
Ethereumprice,"$2,936.55",2025-11-24 22:46:45.807000
Ethereumprice,"$2,935.28",2025-11-24 22:50:31.109000
Ethereumprice,"$2,935.10",2025-11-24 22:51:45.876000
Ethereumprice,"$2,925.35",2025-11-24 22:55:31.159000
